Timestamp,Day,Hour,Realm,Players,Vote_Progress

2026-02-01 02:20:13,Sunday,2,Elysium,0,43
2026-02-01 02:54:03,Sunday,2,Cosmic,0,91
2026-02-01 02:54:26,Sunday,2,Cosmic,0,92
2026-02-01 02:56:15,Sunday,2,Cosmic,0,100
2026-02-01 03:59:18,Sunday,3,Cosmic,0,16
2026-02-01 04:17:37,Sunday,4,Elysium,0,95
2026-02-01 04:50:33,Sunday,4,Elysium,0,0
2026-02-01 07:19:34,Sunday,7,Cosmic,0,50
2026-02-01 07:26:34,Sunday,7,Elysium,0,64
2026-02-01 08:14:54,Sunday,8,Cosmic,0,55
2026-02-01 08:26:33,Sunday,8,Elysium,0,69
2026-02-01 09:05:52,Sunday,9,Elysium,0,89
2026-02-01 09:19:15,Sunday,9,Elysium,0,94
2026-02-01 09:29:32,Sunday,9,Arcane,0,70
2026-02-01 09:50:27,Sunday,9,Elysium,0,14
2026-02-01 09:50:36,Sunday,9,Cosmic,0,74
2026-02-01 10:14:21,Sunday,10,Cosmic,0,81
2026-02-01 10:21:08,Sunday,10,Arcane,0,77
2026-02-01 10:27:43,Sunday,10,Cosmic,0,99
2026-02-01 10:30:25,Sunday,10,Cosmic,0,1
2026-02-01 10:31:45,Sunday,10,Arcane,0,82
2026-02-01 10:37:06,Sunday,10,Arcane,0,87
2026-02-01 10:43:17,Sunday,10,Arcane,0,94
2026-02-01 10:43:57,Sunday,10,Arcane,0,95
2026-02-01 10:44:00,Sunday,10,Arcane,0,96
2026-02-01 10:45:31,Sunday,10,Arcane,0,97
2026-02-01 10:46:12,Sunday,10,Arcane,0,98
2026-02-01 10:47:10,Sunday,10,Arcane,0,99
2026-02-01 10:55:08,Sunday,10,Elysium,0,25
2026-02-01 11:26:34,Sunday,11,Arcane,0,6
2026-02-01 12:10:53,Sunday,12,Elysium,0,30
2026-02-01 20:30:40,Sunday,20,Elysium,41,
2026-02-01 20:32:34,Sunday,20,Elysium,43,
2026-02-01 20:32:46,Sunday,20,Arcane,74,
2026-02-01 20:32:58,Sunday,20,Cosmic,60,
2026-02-01 20:33:09,Sunday,20,Cosmic,60,55
2026-02-01 20:33:19,Sunday,20,Arcane,74,58
2026-02-01 20:33:28,Sunday,20,Elysium,43,59
2026-02-01 20:42:10,Sunday,20,Elysium,42,68
2026-02-01 20:51:12,Sunday,20,Elysium,42,73
2026-02-01 20:51:26,Sunday,20,Arcane,74,63
2026-02-01 20:51:36,Sunday,20,Cosmic,60,67
2026-02-01 20:54:52,Sunday,20,Cosmic,60,69
2026-02-01 20:55:24,Sunday,20,Arcane,74,64
2026-02-01 21:07:18,Sunday,21,Elysium,0,85
2026-02-01 21:12:18,Sunday,21,Cosmic,0,75
2026-02-01 21:12:47,Sunday,21,Arcane,0,68
2026-02-01 21:13:03,Sunday,21,Arcane,67,
2026-02-01 21:13:13,Sunday,21,Cosmic,56,
2026-02-01 21:13:24,Sunday,21,Elysium,44,
2026-02-01 21:18:38,Sunday,21,Elysium,44,86
2026-02-01 21:18:44,Sunday,21,Elysium,45,
2026-02-01 21:19:08,Sunday,21,Arcane,66,
2026-02-01 21:19:25,Sunday,21,Cosmic,56,80
2026-02-01 21:19:30,Sunday,21,Cosmic,61,
2026-02-01 21:34:30,Sunday,21,Elysium,45,100
2026-02-01 21:34:41,Sunday,21,Elysium,60,
2026-02-01 21:34:56,Sunday,21,Elysium,61,
2026-02-01 21:36:52,Sunday,21,Elysium,65,
2026-02-01 21:36:58,Sunday,21,Elysium,65,10
2026-02-01 21:37:17,Sunday,21,Elysium,63,
2026-02-01 21:38:27,Sunday,21,Elysium,59,
2026-02-01 21:38:53,Sunday,21,Arcane,61,
2026-02-01 21:39:00,Sunday,21,Cosmic,57,
2026-02-01 21:43:21,Sunday,21,Arcane,60,
2026-02-01 21:43:52,Sunday,21,Cosmic,59,
2026-02-01 21:43:58,Sunday,21,Cosmic,59,
2026-02-01 21:47:47,Sunday,21,Cosmic,59,85
2026-02-01 21:47:53,Sunday,21,Cosmic,57,
2026-02-01 21:49:28,Sunday,21,Cosmic,57,88
2026-02-01 21:49:43,Sunday,21,Cosmic,57,89
2026-02-01 21:51:04,Sunday,21,Cosmic,57,93
2026-02-01 21:55:23,Sunday,21,Cosmic,57,100
2026-02-01 21:55:35,Sunday,21,Cosmic,54,
2026-02-01 21:55:42,Sunday,21,Cosmic,57,
2026-02-01 21:57:35,Sunday,21,Cosmic,61,
2026-02-01 21:57:44,Sunday,21,Cosmic,61,0
2026-02-01 21:57:54,Sunday,21,Cosmic,58,
2026-02-01 21:57:59,Sunday,21,Cosmic,56,
2026-02-01 21:58:16,Sunday,21,Arcane,60,83
2026-02-01 21:58:22,Sunday,21,Arcane,51,
2026-02-01 21:58:33,Sunday,21,Elysium,59,19
2026-02-01 21:58:38,Sunday,21,Elysium,51,
2026-02-01 22:18:46,Sunday,22,Arcane,51,98
2026-02-01 22:19:01,Sunday,22,Arcane,51,99
2026-02-01 22:19:08,Sunday,22,Arcane,60,
2026-02-01 22:19:22,Sunday,22,Cosmic,48,
2026-02-01 22:19:30,Sunday,22,Elysium,43,
2026-02-01 22:22:42,Sunday,22,Arcane,73,
2026-02-01 22:22:47,Sunday,22,Arcane,74,
2026-02-01 22:22:53,Sunday,22,Arcane,74,0
2026-02-01 23:20:01,Sunday,23,Elysium,50,0
2026-02-01 23:22:29,Sunday,23,Elysium,50,0
2026-02-01 23:25:04,Sunday,23,Elysium,50,24
2026-02-01 23:27:18,Sunday,23,Elysium,48,24
2026-02-01 23:27:46,Sunday,23,Elysium,49,0
2026-02-01 23:29:17,Sunday,23,Elysium,51,0
2026-02-01 23:29:28,Sunday,23,Elysium,51,24
2026-02-02 00:14:13,Monday,0,Elysium,49,34
2026-02-02 00:59:37,Monday,0,Cosmic,0,73
2026-02-02 01:00:37,Monday,1,Arcane,0,22
2026-02-02 01:06:35,Monday,1,Cosmic,0,77
2026-02-02 01:13:44,Monday,1,Cosmic,0,87
2026-02-02 01:16:00,Monday,1,Cosmic,0,93
2026-02-02 01:16:37,Monday,1,Cosmic,0,97
2026-02-02 02:33:09,Monday,2,Elysium,0,99
2026-02-02 02:36:05,Monday,2,Elysium,0,0
2026-02-02 03:02:20,Monday,3,Arcane,0,100
2026-02-02 03:04:16,Monday,3,Cosmic,0,65
2026-02-02 03:04:24,Monday,3,Cosmic,48,0
2026-02-02 03:04:40,Monday,3,Arcane,0,4
2026-02-02 03:04:43,Monday,3,Arcane,58,0
2026-02-02 03:04:48,Monday,3,Arcane,59,0
2026-02-02 03:04:58,Monday,3,Elysium,32,0
2026-02-02 03:05:02,Monday,3,Elysium,32,10
2026-02-02 03:35:00,Monday,3,Cosmic,8,91
2026-02-02 03:38:14,Monday,3,Cosmic,8,95
2026-02-02 03:43:13,Monday,3,Cosmic,8,1
2026-02-02 03:43:17,Monday,3,Cosmic,60,0
2026-02-02 03:43:30,Monday,3,Cosmic,57,0
2026-02-02 05:40:11,Monday,5,Elysium,0,44
2026-02-02 05:41:36,Monday,5,Cosmic,0,56
2026-02-02 05:42:16,Monday,5,Arcane,0,29
2026-02-02 06:38:18,Monday,6,Elysium,25,0
2026-02-02 06:38:24,Monday,6,Elysium,23,0
2026-02-02 06:38:30,Monday,6,Elysium,23,57
2026-02-02 06:41:12,Monday,6,Arcane,0,55
2026-02-02 06:41:17,Monday,6,Cosmic,0,88
2026-02-02 07:00:13,Monday,7,Cosmic,27,0
2026-02-02 07:00:22,Monday,7,Arcane,24,0
2026-02-02 07:00:28,Monday,7,Arcane,24,59
2026-02-02 07:00:38,Monday,7,Elysium,25,0
2026-02-02 07:00:43,Monday,7,Elysium,25,61
2026-02-02 08:44:40,Monday,8,Elysium,7,82
2026-02-02 08:50:36,Monday,8,Elysium,7,92
2026-02-02 08:56:02,Monday,8,Elysium,7,2
2026-02-02 09:00:01,Monday,9,Arcane,0,3
2026-02-02 09:00:36,Monday,9,Cosmic,0,21
2026-02-02 10:28:36,Monday,10,Cosmic,0,37
2026-02-02 10:29:31,Monday,10,Arcane,0,26
2026-02-02 14:10:22,Monday,14,Cosmic,0,5
2026-02-02 14:12:19,Monday,14,Arcane,0,57
2026-02-02 14:13:27,Monday,14,Arcane,0,62
2026-02-02 14:14:23,Monday,14,Elysium,0,35
2026-02-02 15:48:26,Monday,15,Elysium,0,41
2026-02-02 17:08:58,Monday,17,Elysium,0,99
2026-02-02 17:12:21,Monday,17,Arcane,0,93
